,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/14 18:15:48.650,,,,,,41.831504821777,,,,,,
2015/04/14 18:16:02.160,,,,,,,,,,,14.199996948242,
2015/04/14 18:21:04.990,,,,,15.300003051758,,,,,,,
2015/04/14 18:21:10.070,,,,41.868133544922,,,,,,,,
2015/04/14 18:21:42.550,,,,,,,,,,,14.600006103516,
2015/04/14 18:22:18.090,,,,,15.300003051758,,,,,,,
2015/04/14 18:22:42.080,,,,41.794872283936,,41.831504821777,,100.5860824585,,41.941394805908,,
2015/04/14 18:22:57.390,,,,,,,,,,,14.600006103516,
2015/04/14 18:23:57.710,,,,,,,,,,,14.400009155273,
2015/04/14 18:24:07.640,,,,,15.100006103516,,,,,,,
2015/04/14 18:24:50.080,,,,,,,,,,41.978023529053,,
2015/04/14 18:24:58.090,,,,,,,,,,,14.400009155273,
2015/04/14 18:25:51.340,,,,,15.100006103516,,,,,,,
2015/04/14 18:26:04.420,,,,,,,,,,,14.600006103516,
2015/04/14 18:27:12.440,,,,,,41.941394805908,,,,,,
2015/04/14 18:27:18.370,,,,,15.100006103516,,,,,,,
2015/04/14 18:29:14.410,,,,,15.100006103516,,,,,,,
2015/04/14 18:30:15.520,,,,,,,,,,,14.800003051758,
2015/04/14 18:31:16.040,,,,,,,,,,,14.800003051758,
2015/04/14 18:32:16.450,,,,,,,,,,,14.600006103516,
2015/04/14 18:32:18.060,,,,,,,,,,42.124542236328,,
2015/04/14 18:32:40.730,,,,,15.300003051758,,,,,,,
2015/04/14 18:32:42.080,,,,41.941394805908,,41.941394805908,,100.5860824585,,,,
2015/04/14 18:33:17.760,,,,,,,,,,,14.800003051758,
2015/04/14 18:34:19.950,,,,,,,,,,,14.800003051758,
2015/04/14 18:35:21.500,,,,,,,,,,,14.600006103516,
2015/04/14 18:36:24.970,,,,,,,,,,,14.600006103516,
2015/04/14 18:37:15.290,,,,41.978023529053,,,,,,,,
2015/04/14 18:37:27.590,,,,,,,,,,,14.900009155273,
2015/04/14 18:38:31.090,,,,,15.5,,,,,,,
2015/04/14 18:38:46.020,,,,,,,,,,,14.600006103516,
2015/04/14 18:40:16.780,,,,,15.5,,,,,,,
2015/04/14 18:41:17.660,,,,,15.5,,,,,,,
2015/04/14 18:41:52.270,,,,,,,,,,,15,
2015/04/14 18:42:19.770,,,,,15.300003051758,,,,,,,
2015/04/14 18:42:43.090,,,,42.051284790039,,42.014652252197,,100.5860824585,,42.124542236328,,
2015/04/14 18:42:53.640,,,,,,,,,,,15,
2015/04/14 18:43:22.930,,,,,15.5,,,,,,,
2015/04/14 18:43:56.810,,,,,,,,,,,15,
2015/04/14 18:44:26.080,,,,,15.300003051758,,,,,,,
2015/04/14 18:44:55.080,,,,,,42.051284790039,,,,,,
2015/04/14 18:44:59.870,,,,,,,,,,,15,
2015/04/14 18:45:35.020,,,,,15.300003051758,,,,,,,
2015/04/14 18:47:02.430,,,,,,,,,,,14.800003051758,
2015/04/14 18:47:03.340,,,,,15.300003051758,,,,,,,
2015/04/14 18:47:07.090,,,,42.124542236328,,,,,,,,
2015/04/14 18:47:19.080,,,,,,,,,,42.234432220459,,
2015/04/14 18:49:22.760,,,,,15.300003051758,,,,,,,
2015/04/14 18:52:28.840,,,,,15.300003051758,,,,,,,
2015/04/14 18:52:40.510,,,,,,,,,,,15,
2015/04/14 18:52:44.070,,,,42.124542236328,,42.124542236328,,100.5860824585,19.31135559082,42.234432220459,,
2015/04/14 18:56:25.580,,,,,,,,,,,15.199996948242,
2015/04/14 18:57:34.790,,,,,,,,,,,15,
2015/04/14 18:58:36.070,,,,42.234432220459,,,,,,,,
2015/04/14 18:58:56.100,,,,,,,,,,,15,
2015/04/14 18:59:58.360,,,,,,,,,,,15,
2015/04/14 19:02:38.080,,,,,,,,,,42.344326019287,,
2015/04/14 19:02:42.080,,,,42.234432220459,,42.197803497314,,100.5860824585,,,,
2015/04/14 19:02:42.970,,,,,15.5,,,,,,15.199996948242,
2015/04/14 19:05:13.910,,,,,,42.307693481445,,,,,,
2015/04/14 19:05:53.630,,,,,15.699996948242,,,,,,,
2015/04/14 19:07:43.990,,,,,15.699996948242,,,,,,,
2015/04/14 19:09:56.070,,,,,15.5,,,,,,,
2015/04/14 19:10:25.930,,,,,,,,,,,15.400009155273,
2015/04/14 19:11:29.150,,,,,,,,,,,15.199996948242,
2015/04/14 19:12:04.070,,,,,,,,,,42.490844726563,,
2015/04/14 19:12:29.390,,,,,,,,,,,15.199996948242,
2015/04/14 19:12:40.610,,,,,,42.307693481445,1.4362881183624,100.5860824585,,,,
2015/04/14 19:12:43.770,,,,,15.699996948242,,,,,,,
2015/04/14 19:12:44.070,0.030525030568242,,,42.307693481445,,,,,,,,
2015/04/14 19:12:57.270,,0,0,,,,,,,,,
